year,week,published_date,sale_date,vessel_name,vessel_type,build_date,seller,source
2025,46,,10-11-2025,Yuan Zhi Hai,PANAMAX BULKER,Oct 2005,COSCO Shipping Bulk,ShipAndBunker_VesselsValue
2025,46,,10-11-2025,Jia Xin Shan,SUPRAMAX,Dec 2004,COSCO Shipping Bulk,ShipAndBunker_VesselsValue
2025,46,,10-11-2025,Jia Shun Shan,SUPRAMAX,Oct 2005,COSCO Shipping Bulk,ShipAndBunker_VesselsValue
2025,46,,10-11-2025,Jia Xiang Shan,SUPRAMAX,Jan 2005,COSCO Shipping Bulk,ShipAndBunker_VesselsValue
2025,46,,10-11-2025,Jia Ning Shan,SUPRAMAX,Aug 2005,COSCO Shipping Bulk,ShipAndBunker_VesselsValue
2025,45,,03-11-2025,Raissa,HANDY TANKER,Jun 1998,Rochas Co,ShipAndBunker_VesselsValue
2025,45,,01-11-2025,Masal,SUEZMAX,Jul 1998,Ocean Glory Giant Ogg,ShipAndBunker_VesselsValue
2025,45,,01-11-2025,Ark,GEN CARGO,Jun 1985,Norfes-Marine Service,ShipAndBunker_VesselsValue
2025,44,,27-10-2025,Ningaloo Vision,FPSO TANKER,Jan 1981,Unknown USA,ShipAndBunker_VesselsValue
2025,44,,26-10-2025,Collaroy,PASSENGER FERRY,Aug 1988,Sydney Ferries Corporation,ShipAndBunker_VesselsValue
2025,44,,24-10-2025,Monica P,HANDYMAX,Apr 1998,Asia Mulia Transpasifik,ShipAndBunker_VesselsValue
2025,44,,24-10-2025,Zenith,AFRAMAX,Jul 1998,PETROVIETNAM,ShipAndBunker_VesselsValue
2025,44,,24-10-2025,Icon Amara,PSV,Sep 2014,Lianson Fleet Group Berhad,ShipAndBunker_VesselsValue
2025,44,,24-10-2025,Discoverer Inspiration,DRILLSHIP,Oct 2009,Transocean Inc,ShipAndBunker_VesselsValue
2025,43,,20-10-2025,Asmaa Z,HANDYMAX,Dec 1997,Safe Sea Services Sarl,ShipAndBunker_VesselsValue
