date,value
10-09-2013,2001.67
11-09-2013,1954.16
12-09-2013,2021.92
15-09-2013,2134.97
16-09-2013,2277.63
17-09-2013,2223.33
18-09-2013,2277.04
19-09-2013,2345.66
22-09-2013,2424.87
23-09-2013,2428.77
24-09-2013,2384.46
25-09-2013,2245.26
26-09-2013,2163.07
29-09-2013,2161.98
30-09-2013,2228.13
01-10-2013,2308.1
02-10-2013,2347.05
03-10-2013,2408.37
06-10-2013,2359.21
07-10-2013,2268.58
08-10-2013,2157.97
09-10-2013,2034.28
10-10-2013,2092.52
13-10-2013,2007.49
14-10-2013,2039.39
15-10-2013,2049.11
16-10-2013,1906.04
17-10-2013,1786.62
20-10-2013,1732.02
21-10-2013,1660.17
22-10-2013,1550.89
23-10-2013,1485.05
24-10-2013,1523.08
27-10-2013,1387.16
28-10-2013,1280.73
29-10-2013,1347.06
30-10-2013,1443.7
31-10-2013,1428.73
03-11-2013,1487.21
04-11-2013,1453.04
05-11-2013,1321.36
06-11-2013,1347.28
07-11-2013,1359.73
10-11-2013,1306.56
11-11-2013,1305.83
12-11-2013,1254.34
13-11-2013,1201.29
14-11-2013,1199.09
17-11-2013,1209.72
18-11-2013,1230.36
19-11-2013,1294.36
20-11-2013,1229.08
21-11-2013,1255.41
24-11-2013,1315.51
25-11-2013,1326.54
26-11-2013,1435.18
27-11-2013,1500.26
28-11-2013,1519.68
01-12-2013,1500.11
02-12-2013,1541.24
03-12-2013,1570.14
04-12-2013,1585.19
05-12-2013,1584.85
08-12-2013,1592.38
09-12-2013,1633.9
10-12-2013,1611.43
11-12-2013,1550.39
12-12-2013,1515.78
15-12-2013,1433.27
16-12-2013,1436.4
17-12-2013,1441.45
18-12-2013,1489.44
19-12-2013,1630.74
22-12-2013,1605.3
23-12-2013,1574.85
01-01-2014,1483.3
02-01-2014,1395.69
05-01-2014,1416.55
06-01-2014,1428.95
07-01-2014,1384.15
08-01-2014,1339.26
09-01-2014,1341.0
12-01-2014,1373.94
13-01-2014,1471.57
14-01-2014,1472.88
15-01-2014,1536.74
16-01-2014,1529.4
19-01-2014,1439.01
20-01-2014,1370.19
21-01-2014,1356.28
22-01-2014,1327.79
23-01-2014,1373.86
26-01-2014,1366.62
27-01-2014,1341.32
28-01-2014,1404.29
29-01-2014,1372.9
30-01-2014,1367.88
02-02-2014,1349.23
03-02-2014,1340.51
04-02-2014,1390.28
05-02-2014,1403.98
06-02-2014,1395.03
09-02-2014,1416.82
10-02-2014,1384.08
11-02-2014,1354.34
12-02-2014,1350.21
13-02-2014,1383.73
16-02-2014,1433.34
17-02-2014,1486.93
18-02-2014,1522.13
19-02-2014,1517.07
20-02-2014,1563.11
23-02-2014,1527.46
24-02-2014,1624.47
25-02-2014,1703.18
26-02-2014,1676.31
27-02-2014,1717.27
02-03-2014,1737.97
03-03-2014,1840.22
04-03-2014,1944.69
05-03-2014,2023.47
06-03-2014,2055.63
09-03-2014,1932.65
10-03-2014,1780.43
11-03-2014,1776.59
12-03-2014,1866.02
13-03-2014,1865.08
16-03-2014,1875.62
17-03-2014,1931.27
18-03-2014,1982.14
19-03-2014,1908.19
20-03-2014,1895.07
23-03-2014,1923.37
24-03-2014,1754.95
25-03-2014,1687.26
26-03-2014,1688.3
